Input String,Expected Value,Predicted Value
['collin p grandview missouri bought burgundi two button suit about second ago'],['Activity Notification'],['Activity Notification']
['faith glendal unit state purchas choos your flavor bag sampl pack whole bean hour ago'],['Activity Notification'],['Activity Notification']
['sharmeen atif from karachi bought stylish metal glass frame for kid assort na'],['Activity Notification'],['Activity Notification']
['peopl view'],['Activity Notification'],['Activity Notification']
['peopl view last hour'],['Activity Notification'],['Activity Notification']
['keith champaign illinoi bought mini usb audio cassett mp converterabout minut ago'],['Activity Notification'],['Activity Notification']
['jami eloy unit state purchas cbd oil vape addit pack about hour ago'],['Activity Notification'],['Activity Notification']
['someon kilwin unit kingdom bought cuban link chain bracelet'],['Activity Notification'],['Activity Notification']
['chelsea burlington wisconsin bought take out the boat jumpsuit blackabout minut ago'],['Activity Notification'],['Activity Notification']
['crystal li flush unit state purchas'],['Activity Notification'],['Activity Notification']
['peopl look right'],['Activity Notification'],['Activity Notification']
['peopl bought item last week'],['Activity Notification'],['Activity Notification']
['peopl see product right'],['Activity Notification'],['Activity Notification']
['ken oakland unit state purchas dreamvil hoodi month ago'],['Activity Notification'],['Activity Notification']
['peopl view item'],['Activity Notification'],['Activity Notification']
['rebecca buffalo bought sateen twill swatchabout hour ago'],['Activity Notification'],['Activity Notification']
['someon menlo park california purchas electr skateboard motor kv'],['Activity Notification'],['Activity Notification']
['peopl look list'],['Activity Notification'],['Activity Notification']
['sold last hour'],['Activity Notification'],['Activity Notification']
['view thi product'],['Activity Notification'],['Activity Notification']
['mitchel h purchas dimplex ignitexl linear built electr fireplac'],['Activity Notification'],['Sneak into Basket']
['favor by peopl'],['Activity Notification'],['Activity Notification']
['anni chera malaysia bought an abund flower van go paint by number kit'],['Activity Notification'],['Activity Notification']
['kamal lathrop unit state purchas father son super slim stretch feather print long sleev fs hour ago'],['Activity Notification'],['Activity Notification']
['anoth babe alexandria unit state order flat tummi tea'],['Activity Notification'],['Activity Notification']
['someon purchas forward reviv women s red white hustl t shirt minut ago'],['Activity Notification'],['Activity Notification']
['real time visitor right'],['Activity Notification'],['Limited-time Message']
['sold last hour'],['Activity Notification'],['Activity Notification']
